RefDes;Name;X (mil);Y (mil);Side;Rotate;Value
C1;CAP_0805;224,4;1029,3;Top;180;0,1uF
C2;CAP_0805;775,6;1029,3;Top;180;0,1uF
C3;CAP_0805;854,3;202,6;Top;90;0,1uF
D1;LED;500;1087,6;Top;270;APT2012YC
J1;HDR-1x8;950;675;Bottom;270;
J2;HDR-1x8;50;675;Bottom;270;
Q1;TEMT6000X01;303,1;202,6;Top;0;TEMT6000X01
R1;RES_0805;145,7;202,6;Top;90;10k
R2;RES_0805;775;274,9;Bottom;270;4k7
R3;RES_0805;687,5;274,9;Bottom;270;4k7
R4;RES_0805;500,1;975;Top;180;330
S1;B3F-4055;500;675;Top;0;
U1;APA102C;224,4;1186,8;Top;0;APA102C
U2;APA102C;775,6;1186,8;Top;0;APA102C
U3;LM75BD;696,9;202,6;Top;270;LM75BD,118
U4;fiducial;950;50;Top;0;
U5;fiducial;50;1300;Top;0;
U6;fiducial;950;50;Bottom;0;
U7;fiducial;50;1300;Bottom;0;
